source,source_id,title,company,location,latitude,longitude,url,listed,deadline,deadline_kind,first_seen,last_seen
studerendeonline,3109432,Student Assistant for International Partnerships,Danmarks Tekniske Universitet,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109432/danmarks-tekniske-universitet/student-assistant-for-international-partnerships/,2026-09-01,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3109436,Studentermedhjælper til bæredygtighed i byggeriet og energiledelse - DTU Campus Service,Danmarks Tekniske Universitet,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109436/danmarks-tekniske-universitet/studentermedhjaelper-til-baeredygtighed-i-byggeriet-og-energiledelse-dtu-campus-service/,2026-09-01,,,2026-09-15,2026-09-15
studerendeonline,3109459,Student til det økonomiske analyseteam i Landbrug & Fødevarer,Landbrug & Fødevarer F.m.b.A.,Storkøbenhavn,,,https://studerendeonline.dk/job/3109459/landbrug-fodevarer-fmba/student-til-det-okonomiske-analyseteam-i-landbrug-fodevarer/,2026-09-01,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3109460,Studentermedhjælpere med fokus på data og statistik,Landbrug & Fødevarer F.m.b.A.,Storkøbenhavn,,,https://studerendeonline.dk/job/3109460/landbrug-fodevarer-fmba/studentermedhjaelpere-med-fokus-pa-data-og-statistik/,2026-09-01,,asap,2026-09-15,2026-09-15
studerendeonline,3109562,"Student Assistant, IT & Digitalization",Demant A/S,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109562/demant-as/student-assistant-it-digitalization/,2026-09-01,2026-10-01,date,2026-09-15,2026-09-15
studerendeonline,3109574,Studentermedhjælper til DS&DP hos AJ Vaccines,AJ Vaccines,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109574/aj-vaccines/studentermedhjaelper-til-dsdp-hos-aj-vaccines/,2026-09-03,,asap,2026-09-15,2026-09-15
studerendeonline,3109581,Bliv revisorgraduate hos PwC Hellerup og kom helt tæt på kunderne fra dag 1,PwC - Revision | Skat | Rådgivning,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109581/pwc-revision-skat-radgivning/bliv-revisorgraduate-hos-pwc-hellerup-og-kom-helt-taet-pa-kunderne-fra-dag-1/,2026-09-01,,asap,2026-09-15,2026-09-15
studerendeonline,3109707,"Studentermedhjælper til teamet Circular Copenhagen i enheden Genanvendelse og Affaldsjura i Klima-, Miljø- og Teknikforvaltningen",Københavns Kommune,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109707/kobenhavns-kommune/studentermedhjaelper-til-teamet-circular-copenhagen-i-enheden-genanvendelse-og-affaldsjura-i-klima-miljo-og-teknikforvaltningen/,2026-09-01,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3109708,Studentermedhjælper til udvikling og kvalitetssikring af voicebot i Københavns Borgerservice,Københavns Kommune,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3109708/kobenhavns-kommune/studentermedhjaelper-til-udvikling-og-kvalitetssikring-af-voicebot-i-kobenhavns-borgerservice/,2026-09-01,,,2026-09-15,2026-09-15
studerendeonline,3109874,QA Studentermedhjælper,Adapt A/S,Storkøbenhavn,,,https://studerendeonline.dk/job/3109874/adapt-as/qa-studentermedhjaelper/,2026-09-02,,asap,2026-09-15,2026-09-15
studerendeonline,3110076,Student Assistant - Issuance & Corporate Actions Operations,VP SECURITIES A/S,Storkøbenhavn,,,https://studerendeonline.dk/job/3110076/vp-securities-as/student-assistant-issuance-corporate-actions-operations/,2026-09-02,,asap,2026-09-15,2026-09-15
studerendeonline,3110082,Digital studentermedhjælper til Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3110082/danmarks-naturfredningsforening/digital-studentermedhjaelper-til-danmarks-naturfredningsforening/,2026-09-02,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3110167,Student Worker – R&D Laboratory,Agilent Technologies,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3110167/agilent-technologies/student-worker-rd-laboratory/,2026-09-02,,asap,2026-09-15,2026-09-15
studerendeonline,3110236,Kontaktperson – Langeland,CFD,Storkøbenhavn,,,https://studerendeonline.dk/job/3110236/cfd/kontaktperson-langeland/,2026-09-02,2026-09-30,date,2026-09-15,2026-09-15
studerendeonline,3110330,Studentermedhjælper til Rigsarkivets jurateam,Rigsarkivet - Statens Arkiver,"Storkøbenhavn, Øresundsregionen ( Delvist fjernarbejde )",,,https://studerendeonline.dk/job/3110330/rigsarkivet-statens-arkiver/studentermedhjaelper-til-rigsarkivets-jurateam/,2026-09-07,,,2026-09-15,2026-09-15
studerendeonline,3110492,Studentermedhjælper til Cyber- og Informationssikkerhed i DR,DR - Danmarks Radio,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3110492/dr-danmarks-radio/studentermedhjaelper-til-cyber-og-informationssikkerhed-i-dr/,2026-09-02,,,2026-09-15,2026-09-15
studerendeonline,3110562,Ansvarlig for erhvervssupport (studentermedhjælper) - genopslag,CLEVER A/S,Storkøbenhavn,,,https://studerendeonline.dk/job/3110562/clever-as/ansvarlig-for-erhvervssupport-studentermedhjaelper-genopslag/,2026-09-02,2026-10-04,date,2026-09-15,2026-09-15
studerendeonline,3110566,Jurastuderende til Forbrugerrådet Tænks juridiske rådgivning,Forbrugerrådet Tænk,Storkøbenhavn,,,https://studerendeonline.dk/job/3110566/forbrugerradet-taenk/jurastuderende-til-forbrugerradet-taenks-juridiske-radgivning/,2026-09-02,2026-09-30,date,2026-09-15,2026-09-15
studerendeonline,3110664,Studentermedhjælper med flair for kommunikation og digital formidling,Tryg Forsikring A/S,Storkøbenhavn,,,https://studerendeonline.dk/job/3110664/tryg-forsikring-as/studentermedhjaelper-med-flair-for-kommunikation-og-digital-formidling/,2026-09-02,2026-09-23,date,2026-09-15,2026-09-15
studerendeonline,3110687,"Studentermedhjælp søges til økonomi- og registreringsopgaver i Forskningsstøtteområdet, Institut for Kultur og Kommunikation, Aalborg Universitet",Aalborg Universitet (AAU),"Storkøbenhavn, Sydvestjylland (Esbjerg), Nordjylland",,,https://studerendeonline.dk/job/3110687/aalborg-universitet-aau/studentermedhjaelp-soges-til-okonomi-og-registreringsopgaver-i-forskningsstotteomradet-institut-for-kultur-og-kommunikation-aalborg-universitet/,2026-09-02,,,2026-09-15,2026-09-15
studerendeonline,3110691,"Student Assistant, Insights",GN Store Nord A/S,Storkøbenhavn ( Delvist fjernarbejde ),,,https://studerendeonline.dk/job/3110691/gn-store-nord-as/student-assistant-insights/,2026-09-02,,asap,2026-09-15,2026-09-15
studerendeonline,3110703,Audits and Investigation-Student Assistant (Early Careers),Maersk Group - A.P. Møller Mærsk,Storkøbenhavn,,,https://studerendeonline.dk/job/3110703/maersk-group-ap-moller-maersk/audits-and-investigation-student-assistant-early-careers/,2026-09-02,,asap,2026-09-15,2026-09-15
studerendeonline,3110759,"Studentermedhjælper søges til Det Kongelige Akademi - Arkitektur, Design, Konservering",Det Kongelige Akademi - Arkitektur,"Design, Konservering, Storkøbenhavn",,,https://studerendeonline.dk/job/3110759/det-kongelige-akademi-arkitektur-design-konservering/studentermedhjaelper-soges-til-det-kongelige-akademi-arkitektur-design-konservering/,2026-09-02,2026-09-21,date,2026-09-15,2026-09-15
studerendeonline,3110831,"Studentermedhjælper til Børne- og Ungdomsforvaltningen, Område Amager",Københavns Kommune,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3110831/kobenhavns-kommune/studentermedhjaelper-til-borne-og-ungdomsforvaltningen-omrade-amager/,2026-09-02,,,2026-09-15,2026-09-15
studerendeonline,3110927,Phonere,HK Handel,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3110927/hk-handel/phonere/,2026-09-03,2026-10-01,date,2026-09-15,2026-09-15
studerendeonline,3110928,Digital studentermedhjælper til Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3110928/danmarks-naturfredningsforening/digital-studentermedhjaelper-til-danmarks-naturfredningsforening/,2026-09-03,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3111023,Studentermedhjælpere til Center for Folkeskole hos Styrelsen for Undervisning og Kvalitet,Styrelsen for Undervisning og Kvalitet,Storkøbenhavn,,,https://studerendeonline.dk/job/3111023/styrelsen-for-undervisning-og-kvalitet/studentermedhjaelpere-til-center-for-folkeskole-hos-styrelsen-for-undervisning-og-kvalitet/,2026-09-09,,,2026-09-15,2026-09-15
studerendeonline,3111030,To studentermedhjælpere til biologisk overvågning af vandmiljøet i Østjylland,Styrelsen for Grøn Arealomlægning og Vandmiljø,"Storkøbenhavn, Østjylland (Aarhus)",,,https://studerendeonline.dk/job/3111030/styrelsen-for-gron-arealomlaegning-og-vandmiljo/to-studentermedhjaelpere-til-biologisk-overvagning-af-vandmiljoet-i-ostjylland/,2026-09-03,2026-09-30,date,2026-09-15,2026-09-15
studerendeonline,3111061,Student worker for Direct Procurement,Everllence,Storkøbenhavn,,,https://studerendeonline.dk/job/3111061/everllence/student-worker-for-direct-procurement/,2026-09-03,2026-10-15,date,2026-09-15,2026-09-15
studerendeonline,3111062,"Student Worker with Strong Interest in Business Analytics, Strategy & Process Improvement",Everllence,Storkøbenhavn,,,https://studerendeonline.dk/job/3111062/everllence/student-worker-with-strong-interest-in-business-analytics-strategy-process-improvement/,2026-09-03,2026-11-01,date,2026-09-15,2026-09-15
studerendeonline,3111065,Talstærk student med interesse for analyse og økonomi på beskæftigelsesområdet,Beskæftigelses- og Ligestillingsministeriet,Storkøbenhavn,,,https://studerendeonline.dk/job/3111065/beskaeftigelses-og-ligestillingsministeriet/talstaerk-student-med-interesse-for-analyse-og-okonomi-pa-beskaeftigelsesomradet/,2026-09-03,,,2026-09-15,2026-09-15
studerendeonline,3111108,Student Worker - Trackman Agentic Workflow Lab,TRACKMAN A/S,"Storkøbenhavn, Nordsjælland, Udlandet (øvrige)",,,https://studerendeonline.dk/job/3111108/trackman-as/student-worker-trackman-agentic-workflow-lab/,2026-09-03,,asap,2026-09-15,2026-09-15
studerendeonline,3111151,Studentermedhjælper til Kommunikation og Information,Trafikselskabet Movia,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3111151/trafikselskabet-movia/studentermedhjaelper-til-kommunikation-og-information/,2026-09-03,2026-09-24,date,2026-09-15,2026-09-15
studerendeonline,3111233,Studentermedhjælp til Institut for Fødevare- og Ressourceøkonomi,Københavns Universitet,Storkøbenhavn,,,https://studerendeonline.dk/job/3111233/kobenhavns-universitet/studentermedhjaelp-til-institut-for-fodevare-og-ressourceokonomi/,2026-09-03,,,2026-09-15,2026-09-15
studerendeonline,3111264,Studentermedhjælper: Trafik og Mobilitet,Brøndby Kommune,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3111264/brondby-kommune/studentermedhjaelper-trafik-og-mobilitet/,2026-09-03,2026-10-05,date,2026-09-15,2026-09-15
studerendeonline,3111287,"Student Assistant, Global Sourcing",Radiometer Danmark / Danaher,"Storkøbenhavn, Øresundsregionen",,,https://studerendeonline.dk/job/3111287/radiometer-danmark-danaher/student-assistant-global-sourcing/,2026-09-03,,asap,2026-09-15,2026-09-15
studerendeonline,3111292,Studentermedhjælpere til Center for Folkeskole hos Styrelsen for Undervisning og Kvalitet,Undervisningsministeriet,Storkøbenhavn,,,https://studerendeonline.dk/job/3111292/undervisningsministeriet/studentermedhjaelpere-til-center-for-folkeskole-hos-styrelsen-for-undervisning-og-kvalitet/,2026-09-09,,,2026-09-15,2026-09-15
studerendeonline,3111490,Studentermedhjælpere til callcenter,Københavns Professionshøjskole,Storkøbenhavn,,,https://studerendeonline.dk/job/3111490/kobenhavns-professionshojskole/studentermedhjaelpere-til-callcenter/,2026-09-03,2026-09-20,date,2026-09-15,2026-09-15
studerendeonline,3111552,Administrativ koordinator til DTU’s Efter- og videreuddannelse - DTU Engineering Technology,Danmarks Tekniske Universitet,Storkøbenhavn,,,https://studerendeonline.dk/job/3111552/danmarks-tekniske-universitet/administrativ-koordinator-til-dtus-efter-og-videreuddannelse-dtu-engineering-technology/,2026-09-03,2026-09-20,date,2026-09-15,2026-09-15
